Generation,Max_Fitness,Ave_Fitness,Min_Fitness,
,,,,
0,0,531.43734,666.424559,777.7993824
,,,,
1,1,551.1974162,629.8207914,760.8780834
,,,,
2,2,518.0510909,605.8855031,669.6206445
,,,,
3,3,518.0510909,589.6195325,699.4285266
,,,,
4,4,518.0510909,585.2386559,691.0547583
,,,,
5,5,513.9188609,579.8194198,695.6184055
,,,,
6,6,516.5136797,574.5106177,679.9469284
,,,,
7,7,477.9173578,567.0952246,659.6204832
,,,,
8,8,472.2354518,555.151758,659.5691721
,,,,
9,9,452.2396043,542.5257925,645.1075984
,,,,
10,10,452.2396043,531.8549897,635.0197187
,,,,
11,11,452.2396043,515.7077612,619.4070107
,,,,
12,12,452.2396043,511.6824708,620.6614556
,,,,
13,13,452.2396043,488.1621132,554.1671714
,,,,
14,14,449.7352635,483.792493,584.5029801
,,,,
15,15,438.048915,484.5356968,582.6650287
,,,,
16,16,436.2457473,480.7583038,575.9174532
,,,,
17,17,436.2457473,472.4157054,583.2550382
,,,,
18,18,421.7949501,465.8010954,546.8649834
,,,,
19,19,421.7949501,464.179866,553.465831
,,,,
20,20,421.7949501,466.106841,581.0477126
,,,,
21,21,421.7949501,463.9266005,555.2816726
,,,,
22,22,421.7949501,450.9992277,521.4715985
,,,,
23,23,421.4015602,458.3410638,551.2920133
,,,,
24,24,421.4015602,456.4145895,548.686825
,,,,
25,25,417.0338059,446.5443361,556.7555041
,,,,
26,26,417.0338059,438.7904503,514.1830552
,,,,
27,27,416.3834777,437.6556502,518.0414875
,,,,
28,28,416.3834777,434.3889647,523.4698998
,,,,
29,29,416.3834777,441.1828628,549.2537947
,,,,
30,30,416.3834777,437.7284525,530.0618197
,,,,
31,31,407.1164657,436.0641942,539.0996804
,,,,
32,32,375.9945521,437.680343,522.10086
,,,,
33,33,375.9945521,435.1852728,525.3044484
,,,,
34,34,375.9945521,435.5622555,541.3552595
,,,,
35,35,375.9945521,428.5752916,521.9797326
,,,,
36,36,375.9945521,419.4844528,505.6428166
,,,,
37,37,375.9945521,416.0093874,507.3785509
,,,,
38,38,375.7102862,412.6429361,504.8633188
,,,,
39,39,371.7917664,410.9825583,528.4280239
,,,,
