Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,12,8,9,6,4,11,10,2,13,15,1,5,3,7,14,507.96679561844854
1,7,3,14,6,11,13,1,8,4,10,12,5,2,15,9,467.49599921081835
8,6,2,1,13,8,11,4,10,3,15,7,5,9,12,14,466.577597277813
9,14,6,11,1,2,8,13,4,10,3,7,5,15,9,12,430.6242674214969
10,10,3,14,12,15,9,13,1,11,4,8,6,2,5,7,428.468536980308
17,7,3,14,12,15,9,13,1,11,4,8,6,10,2,5,409.84597312646684
21,4,6,2,10,5,7,3,14,12,8,15,9,13,1,11,401.5274923809433
22,13,1,11,4,8,6,10,2,15,5,7,3,14,12,9,391.34563477784604
23,4,6,8,2,10,5,7,3,14,12,15,9,13,1,11,389.68974626383033
25,15,5,7,3,14,12,9,2,13,1,11,4,8,6,10,381.5507399689384
31,8,10,2,15,5,7,3,14,12,9,13,1,11,4,6,359.2642962081511
39,8,10,14,12,7,3,9,15,5,2,13,1,11,4,6,342.90735490849215
47,3,9,15,5,2,13,1,11,4,6,8,10,14,12,7,342.9073549084921
51,13,1,11,4,6,8,10,14,12,7,3,5,9,15,2,323.63877877583445
56,15,5,2,13,1,11,4,6,8,10,14,12,3,7,9,308.4503116667391
60,15,9,2,13,1,11,4,6,8,10,14,12,3,7,5,289.4089339481157
75,7,5,15,9,2,13,1,11,4,6,8,10,14,12,3,289.40893394811565
81,5,15,9,2,13,1,11,4,6,8,10,14,12,3,7,289.4089339481156
102,13,1,11,4,6,8,10,14,12,3,7,5,9,15,2,284.380862862478
107,12,3,7,5,9,15,2,13,1,11,4,6,8,10,14,284.38086286247795
