Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,14,5,10,2,13,11,8,1,6,4,9,15,7,3,12
23,1,4,6,11,3,9,5,15,2,13,12,14,7,10,8
26,14,7,10,8,3,9,5,15,2,13,1,4,6,11,12
32,2,13,1,4,6,11,12,14,10,8,3,7,9,5,15
71,6,11,14,12,10,8,3,7,9,5,15,2,13,1,4
80,4,11,6,12,14,10,8,3,7,9,5,15,2,13,1
82,12,14,10,8,3,7,9,5,15,2,13,1,4,11,6
85,6,14,12,10,8,3,7,9,5,15,2,13,1,4,11
104,14,12,10,8,3,7,9,5,15,2,13,1,11,4,6
198,5,15,2,13,1,11,4,6,8,14,12,10,3,7,9
445,7,5,15,9,2,13,1,11,4,6,8,14,12,10,3
