Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2,10,4,14,3,7,5,1,6,8,11,13,12,9,15
2,2,10,4,14,3,7,5,1,6,13,11,8,12,9,15
6,9,15,2,10,4,14,3,7,5,1,6,13,11,8,12
8,11,8,12,10,4,14,3,7,5,1,6,13,9,15,2
13,15,2,13,10,4,14,3,7,5,1,11,8,6,12,9
15,5,1,11,8,6,12,9,15,2,13,10,4,14,3,7
20,5,1,11,8,6,12,9,15,2,13,4,14,10,3,7
43,12,9,15,2,13,5,1,11,8,6,4,14,10,3,7
44,2,13,10,3,7,5,1,11,8,6,4,14,12,9,15
48,10,3,7,5,9,15,1,11,8,6,4,14,12,2,13
50,3,7,5,9,15,1,11,8,6,4,14,12,2,13,10
51,7,5,9,15,1,11,8,6,4,14,12,10,2,13,3
73,9,15,1,11,8,6,4,14,12,10,2,13,3,7,5
85,11,8,6,4,14,12,10,3,7,5,2,13,9,15,1
95,11,8,6,4,14,12,10,3,7,5,15,2,13,9,1
109,11,8,6,4,14,12,10,3,7,5,9,2,13,15,1
120,2,13,15,1,11,8,6,4,14,12,10,3,7,5,9
131,9,13,15,2,1,11,8,6,4,14,12,10,3,7,5
158,7,5,15,9,13,2,1,11,8,6,4,14,12,10,3
249,7,5,15,9,2,13,1,11,8,6,4,14,12,10,3
413,7,5,15,9,2,13,1,11,4,6,8,14,12,10,3
424,4,6,8,14,12,10,3,7,5,15,9,2,13,1,11
