Generation,Max_Fitness,Ave_Fitness,Min_Fitness
0,0,566.9747947208963,670.3973431894431,725.1561273464084
1,1,566.9747947208963,645.3527323656083,684.1398715517837
2,2,561.5690631654855,600.481956709293,637.0607156656326
3,3,550.6194530097625,566.1586431193584,587.9472942119341
4,4,550.6194530097625,567.719359816058,619.6945718076554
5,5,550.6194530097625,550.6194530097627,550.6194530097627
6,6,550.6194530097625,553.2824288387071,577.2492112992068
7,7,550.6194530097625,550.6194530097627,550.6194530097625
8,8,550.6194530097625,561.6796812356454,590.2761842328521
9,9,550.6194530097625,561.164303132229,603.3437036220938
10,10,550.6194530097625,556.5755073238726,610.1799961508611
11,11,550.6194530097625,550.6194530097627,550.6194530097625
12,12,512.7229784677396,538.8910581339112,570.6018203599378
13,13,512.7229784677396,531.6674751793572,570.0957442849502
14,14,512.7229784677396,525.0929856166208,570.5812475580824
15,15,454.15691898202203,513.5523343589324,533.626657337207
16,16,454.15691898202203,533.3367656600848,599.0179165055151
17,17,454.15691898202203,484.6855478340226,517.9189618675111
18,18,454.15691898202203,454.7007006691527,456.8758274176755
19,19,454.15691898202203,478.0986056141155,573.8653521424891
20,20,454.15691898202203,465.0978758638403,563.5664878002041
21,21,454.15691898202203,459.4272182249921,480.5084151968724
22,22,454.15691898202203,487.80251633164096,543.7763975925369
23,23,454.15691898202203,464.8859499682127,481.19701655904606
24,24,454.15691898202203,461.62165792884025,491.48061371611317
25,25,454.15691898202203,469.8695956782798,512.0687416153336
26,26,454.15691898202203,472.0404483746862,524.1040194217638
27,27,454.15691898202203,465.1257350782263,532.381614605998
28,28,454.15691898202203,472.6481550578296,546.3115533024219
29,29,454.15691898202203,469.3033770743714,529.8892094437691
30,30,454.15691898202203,465.90734977501836,512.9090729470034
