Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,9,4,11,5,14,12,10,15,2,13,1,6,3,7,8
5,13,1,2,3,4,11,6,7,8,9,5,14,12,10,15
8,14,12,10,15,13,1,2,3,4,11,6,7,8,9,5
13,13,1,7,8,9,5,2,3,4,11,6,14,12,10,15
16,13,1,7,2,9,5,8,3,4,11,6,14,12,10,15
19,2,10,15,7,9,5,8,3,4,11,6,14,12,13,1
25,2,10,15,7,9,5,8,13,4,11,6,14,12,3,1
26,5,8,6,14,12,3,1,13,4,11,2,10,15,7,9
27,8,6,14,12,3,1,13,4,11,2,10,15,9,7,5
28,3,1,13,4,11,15,9,7,5,2,10,8,6,14,12
29,12,3,1,13,4,11,15,9,7,5,2,10,8,6,14
30,3,1,13,4,11,2,15,9,7,5,10,8,6,14,12
34,12,3,1,13,4,11,2,15,9,7,5,10,8,6,14
63,12,3,1,13,4,11,2,15,9,5,7,10,8,6,14
129,12,10,1,13,4,11,2,15,9,5,7,3,8,6,14
156,4,11,2,15,9,5,7,3,8,6,14,12,10,13,1
161,1,11,2,15,9,5,7,3,8,4,6,14,12,10,13
179,7,3,8,4,6,14,12,10,13,1,11,2,15,9,5
517,7,3,8,4,6,14,12,10,2,1,11,13,15,9,5
