Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,14,10,12,3,15,5,7,9,4,2,13,11,8,1,6,502.56403230400537
8,14,10,12,3,15,5,7,9,4,2,8,11,13,1,6,495.6320866092228
9,14,10,12,3,15,5,7,9,1,2,13,11,8,4,6,425.48321216477217
18,14,3,12,10,15,5,7,9,1,2,13,11,8,4,6,419.40914677612994
19,14,10,12,3,15,5,7,9,8,2,13,11,1,4,6,408.1627855533627
22,14,12,10,3,15,5,7,9,1,2,13,8,11,4,6,402.0140940732449
27,14,10,12,3,7,5,15,9,8,2,13,11,1,4,6,367.43673920678526
29,14,12,10,3,7,5,15,9,1,2,13,8,11,4,6,361.28804772666746
37,14,12,10,3,7,5,15,9,13,2,1,8,11,4,6,348.8949907941133
45,14,12,10,3,7,5,15,9,2,13,1,8,11,4,6,336.5806303742097
93,14,12,10,3,7,5,15,9,2,13,1,11,8,4,6,333.17026524839525
100,14,12,10,3,7,5,15,9,2,13,1,11,6,4,8,330.9341986679473
102,14,12,10,3,7,5,15,9,2,13,1,11,4,8,6,325.50667520769514
121,14,12,10,3,7,5,9,15,2,13,1,11,4,8,6,320.4786041220575
128,14,12,10,3,7,5,9,15,2,13,1,11,4,6,8,306.37891596121744
146,10,12,14,3,7,5,9,15,2,13,1,11,4,6,8,292.5055028535423
154,10,14,12,3,7,5,9,15,2,13,1,11,4,6,8,284.38086286247807
