Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,11,10,14,8,6,4,9,3,5,15,12,7,2,13,1,509.90725114148086
3,11,8,14,10,6,4,9,3,5,15,12,7,2,13,1,503.36720190767176
12,11,8,14,4,6,10,9,3,5,15,12,7,2,13,1,490.35011715846616
14,11,8,14,10,6,4,9,7,5,15,12,3,2,13,1,457.7195966453658
16,11,8,14,10,6,4,12,3,5,7,9,15,2,13,1,390.01776775763517
30,11,8,14,10,6,4,12,3,7,5,9,15,2,13,1,364.69167781759484
35,11,8,4,10,6,14,12,3,7,5,9,15,2,13,1,357.49967135222613
43,11,4,8,10,6,14,12,3,7,5,9,15,2,13,1,314.0594965512408
58,11,4,6,10,8,14,12,3,7,5,9,15,2,13,1,299.95980839040067
73,11,4,6,8,10,14,12,3,7,5,9,15,2,13,1,284.380862862478
