Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,9,7,15,2,13,1,11,12,5,10,8,6,4,3,14,508.2114975311584
4,13,5,3,7,10,1,14,12,9,15,2,8,6,4,11,480.9648546723919
6,4,6,1,2,13,15,7,8,5,9,14,12,3,10,11,457.7054363811022
13,4,6,1,2,13,15,7,5,8,9,14,12,3,10,11,450.535544499032
17,4,6,1,2,13,15,9,8,5,7,14,12,3,10,11,423.1531897643053
21,4,6,1,2,13,8,7,5,15,9,14,12,3,10,11,418.5966982105845
25,4,6,1,2,13,15,9,7,5,8,14,12,3,10,11,398.26329265311375
36,4,6,1,13,2,15,9,7,5,8,14,12,3,10,11,389.679397531307
47,4,6,1,13,2,15,9,7,5,10,14,12,3,8,11,375.7133683638669
63,4,6,1,13,2,15,9,7,5,3,14,12,10,8,11,355.0765887661122
65,4,11,1,13,2,15,9,7,5,10,14,12,3,8,6,338.46837239133737
73,4,11,1,13,2,15,9,7,5,10,3,12,14,8,6,331.6844444041904
76,4,11,1,13,2,15,5,7,9,10,3,12,14,8,6,327.4816587714289
77,4,11,1,13,2,15,9,7,5,3,14,12,10,8,6,317.8315927935826
98,4,11,1,13,2,15,9,7,5,3,12,14,10,8,6,309.70695280251834
106,4,11,1,13,2,15,9,5,7,3,12,14,10,8,6,284.380862862478
