Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,11,4,10,9,3,12,14,6,13,15,1,8,7,5,2,500.7088008502261
6,3,7,15,9,1,2,4,6,11,13,8,5,10,12,14,471.5961124302573
7,9,5,3,10,11,1,13,2,4,6,8,7,12,14,15,449.63762420830716
13,12,3,10,6,14,8,13,1,2,4,11,15,9,5,7,440.4044262364081
17,6,8,12,14,15,9,5,3,7,10,11,1,13,2,4,427.69447256513996
18,7,3,10,6,12,14,8,13,1,2,4,11,15,9,5,424.4603189061744
20,2,4,6,8,7,15,9,5,3,12,14,10,11,1,13,399.96978740078123
21,4,6,8,7,15,9,5,3,12,14,10,11,1,13,2,399.9697874007811
27,13,2,8,7,15,9,5,3,12,14,10,11,4,6,1,398.36150952738075
30,1,13,2,7,15,9,5,3,12,14,4,6,8,10,11,390.09758931203834
38,1,13,2,4,6,8,10,7,15,9,5,3,12,14,11,388.518676997405
43,13,2,11,4,6,8,10,7,15,9,5,3,12,14,1,388.16555104587803
45,12,14,11,4,6,1,13,2,8,10,7,15,9,5,3,386.91039912400464
50,9,3,12,14,4,6,8,10,11,1,13,2,7,5,15,378.2153204347758
57,3,12,14,4,6,11,1,13,2,8,10,7,15,9,5,358.94639150524193
70,4,11,1,13,2,8,10,7,15,9,5,3,12,14,6,332.83241121172193
148,1,13,2,15,5,9,8,10,7,3,12,14,6,4,11,320.0557705421485
165,3,10,12,14,8,6,4,11,1,13,2,15,5,9,7,318.7906545073638
171,1,13,2,15,5,9,7,3,10,12,14,8,6,4,11,318.79065450736374
186,13,2,9,15,5,7,3,10,12,14,8,6,4,11,1,311.406987046855
201,15,9,5,7,3,10,12,14,8,6,4,11,1,13,2,306.3789159612174
203,6,4,11,1,13,2,9,15,5,7,3,12,14,8,10,304.9878794760383
206,11,1,13,2,8,10,9,15,5,7,3,12,14,6,4,301.35819431395754
4887,5,7,3,12,14,10,8,6,4,11,1,13,2,9,15,289.4089339481157
4893,15,5,7,3,12,14,10,8,6,4,11,1,13,2,9,289.40893394811565
4897,1,13,2,9,15,5,7,3,12,14,10,8,6,4,11,289.4089339481156
4920,1,13,2,15,9,5,7,3,12,14,10,8,6,4,11,284.38086286247795
