Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,9,13,2,8,10,12,14,4,3,7,5,6,11,1,15,455.55620868763873
17,9,13,2,8,10,4,14,12,3,7,5,6,11,1,15,429.2347823547569
24,15,13,2,8,10,4,14,12,3,7,5,6,11,1,9,428.55880662238434
28,9,15,2,8,10,4,14,12,3,7,5,6,11,1,13,416.423552507618
36,15,9,2,8,10,4,14,12,3,7,5,6,11,1,13,412.69308720952114
37,2,15,9,8,10,4,14,12,3,7,5,6,11,1,13,407.4491960993653
48,2,15,9,5,10,4,14,12,3,7,8,6,11,1,13,394.25228235872066
52,2,15,5,9,10,4,14,12,3,7,8,6,11,1,13,390.0494967259592
55,2,15,9,5,7,4,14,12,3,10,8,6,11,1,13,379.87185113861364
64,2,15,9,5,7,10,14,12,3,4,8,6,11,1,13,373.7638205928674
67,2,15,9,5,7,6,14,12,3,10,8,4,11,1,13,350.59919305491354
93,2,15,9,5,7,3,14,12,6,10,8,4,11,1,13,332.6770346718192
96,2,15,9,5,7,3,12,14,6,10,8,4,11,1,13,314.0594965512408
111,2,15,9,5,7,3,12,14,8,10,6,4,11,1,13,299.9598083904006
150,2,15,9,5,7,3,12,14,10,8,6,4,11,1,13,284.380862862478
