Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,8,2,9,3,1,10,14,6,4,11,13,15,7,5,12,520.1159808016666
2,6,13,5,10,8,15,9,7,3,12,14,1,4,11,2,502.8138759675487
5,6,13,5,15,8,10,9,7,3,12,14,1,4,11,2,498.6110903347872
6,6,13,5,10,1,15,9,7,3,12,14,8,4,11,2,495.119225760834
8,6,13,5,15,8,10,9,7,3,12,14,1,11,4,2,486.5659680239896
9,2,13,5,15,8,10,9,7,3,12,14,1,11,4,6,414.60089575220474
17,2,13,15,5,8,10,9,7,3,12,14,1,11,4,6,406.99808251020454
23,2,13,15,9,8,10,5,7,3,12,14,1,11,4,6,391.61462314166295
65,2,13,15,9,8,10,5,7,3,12,14,6,11,4,1,368.7910303306886
72,2,13,15,9,8,10,5,7,3,12,14,6,4,11,1,333.77572054465173
109,13,2,15,9,8,10,5,7,3,12,14,6,4,11,1,325.191825422845
